year	county	measure	rate	numerator	denominator	per
2019	Alexander	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.23333333333333334	7	30	1
2019	Alexander	Permanency in 12 months for children in foster care 12-23 months	0.4666666666666667	7	15	1
2019	Alexander	Permanency in 12 months for children in foster care for 24 months or more	0.375	6	16	1
2019	Alexander	[HB630 - CWS4] Re-entry to foster care in 12 months	0.16666666666666666	1	6	1
2019	Alexander	[HB630 - CWS5] Placement stability	17.202692595362752	46	2674	1000
2016	Alleghany	Maltreatment in foster care	0	0	8309	100000
2016	Alleghany	[HB630 - CWS2] Recurrence of maltreatment	0.09722222222222222	7	72	1
2016	Alleghany	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.15384615384615385	2	13	1
2016	Alleghany	Permanency in 12 months for children in foster care 12-23 months	1	1	1	1
2016	Alleghany	Permanency in 12 months for children in foster care for 24 months or more	0.3333333333333333	1	3	1
2016	Alleghany	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	1	1
2016	Alleghany	[HB630 - CWS5] Placement stability	3.9506172839506175	16	4050	1000
2017	Alleghany	Maltreatment in foster care	0	0	10614	100000
2017	Alleghany	[HB630 - CWS2] Recurrence of maltreatment	0.05454545454545454	3	55	1
2017	Alleghany	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.20833333333333334	5	24	1
2017	Alleghany	Permanency in 12 months for children in foster care 12-23 months	0.2857142857142857	2	7	1
2017	Alleghany	Permanency in 12 months for children in foster care for 24 months or more	0.5	1	2	1
2017	Alleghany	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	4	1
2017	Alleghany	[HB630 - CWS5] Placement stability	6.576243321002877	16	2433	1000
2018	Alleghany	Maltreatment in foster care	0	0	12591	100000
2018	Alleghany	[HB630 - CWS2] Recurrence of maltreatment	0.23255813953488372	10	43	1
2018	Alleghany	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3	3	10	1
2018	Alleghany	Permanency in 12 months for children in foster care 12-23 months	0.14285714285714285	2	14	1
2018	Alleghany	Permanency in 12 months for children in foster care for 24 months or more	0	0	6	1
2018	Alleghany	[HB630 - CWS4] Re-entry to foster care in 12 months	0.5	1	2	1
2018	Alleghany	[HB630 - CWS5] Placement stability	5.125701732975348	21	4097	1000
2019	Alleghany	Maltreatment in foster care	0	0	13454	100000
2019	Alleghany	[HB630 - CWS2] Recurrence of maltreatment	0.2564102564102564	10	39	1
2019	Alleghany	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3157894736842105	6	19	1
2019	Alleghany	Permanency in 12 months for children in foster care 12-23 months	0.8	4	5	1
2019	Alleghany	Permanency in 12 months for children in foster care for 24 months or more	0.47058823529411764	8	17	1
2019	Alleghany	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	6	1
2019	Alleghany	[HB630 - CWS5] Placement stability	6.2588904694167855	22	3515	1000
2016	Anson	Maltreatment in foster care	0	0	4516	100000
2016	Anson	[HB630 - CWS2] Recurrence of maltreatment	0.0196078431372549	1	51	1
2016	Anson	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.8571428571428571	12	14	1
2016	Anson	Permanency in 12 months for children in foster care 12-23 months	0	0	1	1
2016	Anson	Permanency in 12 months for children in foster care for 24 months or more	NA	0	0	1
2016	Anson	[HB630 - CWS4] Re-entry to foster care in 12 months	0.1	1	10	1
2016	Anson	[HB630 - CWS5] Placement stability	3.3222591362126246	4	1204	1000
2017	Anson	Maltreatment in foster care	25.163563160543532	2	7948	100000
2017	Anson	[HB630 - CWS2] Recurrence of maltreatment	0.14285714285714285	10	70	1
2017	Anson	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.5384615384615384	7	13	1
2017	Anson	Permanency in 12 months for children in foster care 12-23 months	0	0	2	1
2017	Anson	Permanency in 12 months for children in foster care for 24 months or more	NA	0	0	1
2017	Anson	[HB630 - CWS4] Re-entry to foster care in 12 months	0.3333333333333333	3	9	1
2017	Anson	[HB630 - CWS5] Placement stability	3.790750568612585	15	3957	1000
2018	Anson	Maltreatment in foster care	0	0	11047	100000
2018	Anson	[HB630 - CWS2] Recurrence of maltreatment	0.06896551724137931	6	87	1
2018	Anson	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3333333333333333	8	24	1
2018	Anson	Permanency in 12 months for children in foster care 12-23 months	0	0	6	1
2018	Anson	Permanency in 12 months for children in foster care for 24 months or more	0	0	2	1
2018	Anson	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	8	1
2018	Anson	[HB630 - CWS5] Placement stability	4.533434076312807	12	2647	1000
2019	Anson	Maltreatment in foster care	0	0	8236	100000
2019	Anson	[HB630 - CWS2] Recurrence of maltreatment	0.05063291139240506	4	79	1
2019	Anson	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.5625	9	16	1
2019	Anson	Permanency in 12 months for children in foster care 12-23 months	0.25	2	8	1
2019	Anson	Permanency in 12 months for children in foster care for 24 months or more	0.5	4	8	1
2019	Anson	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	8	1
2019	Anson	[HB630 - CWS5] Placement stability	3.0181086519114686	3	994	1000
2016	Ashe	Maltreatment in foster care	0	0	14927	100000
2016	Ashe	[HB630 - CWS2] Recurrence of maltreatment	0.18604651162790697	16	86	1
2016	Ashe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.13793103448275862	4	29	1
2016	Ashe	Permanency in 12 months for children in foster care 12-23 months	0.25	3	12	1
2016	Ashe	Permanency in 12 months for children in foster care for 24 months or more	0.625	5	8	1
2016	Ashe	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	3	1
2016	Ashe	[HB630 - CWS5] Placement stability	3.4427966101694913	13	3776	1000
2017	Ashe	Maltreatment in foster care	0	0	14984	100000
2017	Ashe	[HB630 - CWS2] Recurrence of maltreatment	0.1794871794871795	21	117	1
2017	Ashe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.5833333333333334	14	24	1
2017	Ashe	Permanency in 12 months for children in foster care 12-23 months	0.9	9	10	1
2017	Ashe	Permanency in 12 months for children in foster care for 24 months or more	0.45454545454545453	5	11	1
2017	Ashe	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	14	1
2017	Ashe	[HB630 - CWS5] Placement stability	7.1858613322975335	37	5149	1000
2018	Ashe	Maltreatment in foster care	12.526619065514218	2	15966	100000
2018	Ashe	[HB630 - CWS2] Recurrence of maltreatment	0.14953271028037382	16	107	1
2018	Ashe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.16129032258064516	5	31	1
2018	Ashe	Permanency in 12 months for children in foster care 12-23 months	0.42857142857142855	3	7	1
2018	Ashe	Permanency in 12 months for children in foster care for 24 months or more	0.6666666666666666	4	6	1
2018	Ashe	[HB630 - CWS4] Re-entry to foster care in 12 months	0.16666666666666666	1	6	1
2018	Ashe	[HB630 - CWS5] Placement stability	8.739561079821325	45	5149	1000
2019	Ashe	Maltreatment in foster care	11.779256728900407	2	16979	100000
2019	Ashe	[HB630 - CWS2] Recurrence of maltreatment	0.11627906976744186	10	86	1
2019	Ashe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.2972972972972973	11	37	1
2019	Ashe	Permanency in 12 months for children in foster care 12-23 months	0.6153846153846154	8	13	1
2019	Ashe	Permanency in 12 months for children in foster care for 24 months or more	0.5	2	4	1
2019	Ashe	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	11	1
2019	Ashe	[HB630 - CWS5] Placement stability	2.041649652919559	10	4898	1000
2016	Avery	Maltreatment in foster care	0	0	11230	100000
2016	Avery	[HB630 - CWS2] Recurrence of maltreatment	0.05333333333333334	4	75	1
2016	Avery	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.07142857142857142	1	14	1
2016	Avery	Permanency in 12 months for children in foster care 12-23 months	0.75	6	8	1
2016	Avery	Permanency in 12 months for children in foster care for 24 months or more	0	0	5	1
2016	Avery	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	3	1
2016	Avery	[HB630 - CWS5] Placement stability	6.36237897648686	23	3615	1000
2017	Avery	Maltreatment in foster care	11.6795141322121	1	8562	100000
2017	Avery	[HB630 - CWS2] Recurrence of maltreatment	0.14634146341463414	6	41	1
2017	Avery	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.26666666666666666	4	15	1
2017	Avery	Permanency in 12 months for children in foster care 12-23 months	0.2	1	5	1
2017	Avery	Permanency in 12 months for children in foster care for 24 months or more	0.14285714285714285	1	7	1
2017	Avery	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	3	1
2017	Avery	[HB630 - CWS5] Placement stability	3.5700119000396664	9	2521	1000
2018	Avery	Maltreatment in foster care	0	0	8626	100000
2018	Avery	[HB630 - CWS2] Recurrence of maltreatment	0.11538461538461539	6	52	1
2018	Avery	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3076923076923077	4	13	1
2018	Avery	Permanency in 12 months for children in foster care 12-23 months	0.75	3	4	1
2018	Avery	Permanency in 12 months for children in foster care for 24 months or more	0.2857142857142857	2	7	1
2018	Avery	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	4	1
2018	Avery	[HB630 - CWS5] Placement stability	1.0619469026548674	3	2825	1000
2019	Avery	Maltreatment in foster care	0	0	12530	100000
2019	Avery	[HB630 - CWS2] Recurrence of maltreatment	0.125	5	40	1
2019	Avery	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.4	8	20	1
2019	Avery	Permanency in 12 months for children in foster care 12-23 months	0.42857142857142855	3	7	1
2019	Avery	Permanency in 12 months for children in foster care for 24 months or more	0.2	1	5	1
2019	Avery	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	4	1
2019	Avery	[HB630 - CWS5] Placement stability	4.253056884635832	16	3762	1000
2016	Beaufort	Maltreatment in foster care	8.860796880999498	3	33857	100000
2016	Beaufort	[HB630 - CWS2] Recurrence of maltreatment	0.13875598086124402	29	209	1
2016	Beaufort	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.27941176470588236	19	68	1
2016	Beaufort	Permanency in 12 months for children in foster care 12-23 months	0.4375	7	16	1
2016	Beaufort	Permanency in 12 months for children in foster care for 24 months or more	0.5294117647058824	9	17	1
2016	Beaufort	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	23	1
2016	Beaufort	[HB630 - CWS5] Placement stability	2.839357868297477	26	9157	1000
2017	Beaufort	Maltreatment in foster care	14.447109133462394	5	34609	100000
2017	Beaufort	[HB630 - CWS2] Recurrence of maltreatment	0.17479674796747968	43	246	1
2017	Beaufort	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3076923076923077	20	65	1
2017	Beaufort	Permanency in 12 months for children in foster care 12-23 months	0.8235294117647058	28	34	1
2017	Beaufort	Permanency in 12 months for children in foster care for 24 months or more	0.42857142857142855	6	14	1
2017	Beaufort	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	21	1
2017	Beaufort	[HB630 - CWS5] Placement stability	3.403014098201264	35	10285	1000
2018	Beaufort	Maltreatment in foster care	5.758046870501525	2	34734	100000
2018	Beaufort	[HB630 - CWS2] Recurrence of maltreatment	0.09170305676855896	21	229	1
2018	Beaufort	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.06382978723404255	3	47	1
2018	Beaufort	Permanency in 12 months for children in foster care 12-23 months	0.75	21	28	1
2018	Beaufort	Permanency in 12 months for children in foster care for 24 months or more	0.25	3	12	1
2018	Beaufort	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	5	1
2018	Beaufort	[HB630 - CWS5] Placement stability	4.35865504358655	63	14454	1000
2019	Beaufort	Maltreatment in foster care	2.504821781930216	1	39923	100000
2019	Beaufort	[HB630 - CWS2] Recurrence of maltreatment	0.07806691449814127	21	269	1
2019	Beaufort	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.4625	37	80	1
2019	Beaufort	Permanency in 12 months for children in foster care 12-23 months	0.6	18	30	1
2019	Beaufort	Permanency in 12 months for children in foster care for 24 months or more	0.3076923076923077	4	13	1
2019	Beaufort	[HB630 - CWS4] Re-entry to foster care in 12 months	0.034482758620689655	1	29	1
2019	Beaufort	[HB630 - CWS5] Placement stability	3.7482228253845156	58	15474	1000
2016	Bertie	Maltreatment in foster care	0	0	2451	100000
2016	Bertie	[HB630 - CWS2] Recurrence of maltreatment	0	0	20	1
2016	Bertie	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0	0	2	1
2016	Bertie	Permanency in 12 months for children in foster care 12-23 months	NA	0	0	1
2016	Bertie	Permanency in 12 months for children in foster care for 24 months or more	0.6	3	5	1
2016	Bertie	[HB630 - CWS4] Re-entry to foster care in 12 months	NA	0	0	1
2016	Bertie	[HB630 - CWS5] Placement stability	35.15625	18	512	1000
2017	Bertie	Maltreatment in foster care	0	0	2720	100000
2017	Bertie	[HB630 - CWS2] Recurrence of maltreatment	0.21428571428571427	3	14	1
2017	Bertie	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.5	2	4	1
2017	Bertie	Permanency in 12 months for children in foster care 12-23 months	0	0	2	1
2017	Bertie	Permanency in 12 months for children in foster care for 24 months or more	0	0	2	1
2017	Bertie	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	1	1
2017	Bertie	[HB630 - CWS5] Placement stability	15.940488841657812	15	941	1000
2018	Bertie	Maltreatment in foster care	0	0	2974	100000
2018	Bertie	[HB630 - CWS2] Recurrence of maltreatment	0.23404255319148937	11	47	1
2018	Bertie	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.25	1	4	1
2018	Bertie	Permanency in 12 months for children in foster care 12-23 months	0	0	1	1
2018	Bertie	Permanency in 12 months for children in foster care for 24 months or more	0	0	4	1
2018	Bertie	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	2	1
2018	Bertie	[HB630 - CWS5] Placement stability	5	5	1000	1000
2019	Bertie	Maltreatment in foster care	0	0	3501	100000
2019	Bertie	[HB630 - CWS2] Recurrence of maltreatment	0	0	15	1
2019	Bertie	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.6	3	5	1
2019	Bertie	Permanency in 12 months for children in foster care 12-23 months	0	0	2	1
2019	Bertie	Permanency in 12 months for children in foster care for 24 months or more	0.3333333333333333	1	3	1
2019	Bertie	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	3	1
2019	Bertie	[HB630 - CWS5] Placement stability	0	0	796	1000
2016	Bladen	Maltreatment in foster care	0	0	17955	100000
2016	Bladen	[HB630 - CWS2] Recurrence of maltreatment	0.09448818897637795	12	127	1
2016	Bladen	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3902439024390244	16	41	1
2016	Bladen	Permanency in 12 months for children in foster care 12-23 months	0.16666666666666666	2	12	1
2016	Bladen	Permanency in 12 months for children in foster care for 24 months or more	0.2	2	10	1
2016	Bladen	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	13	1
2016	Bladen	[HB630 - CWS5] Placement stability	0	0	3495	1000
2017	Bladen	Maltreatment in foster care	0	0	13848	100000
2017	Bladen	[HB630 - CWS2] Recurrence of maltreatment	0.06796116504854369	7	103	1
2017	Bladen	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.42105263157894735	8	19	1
2017	Bladen	Permanency in 12 months for children in foster care 12-23 months	0.3333333333333333	4	12	1
2017	Bladen	Permanency in 12 months for children in foster care for 24 months or more	0.13333333333333333	2	15	1
2017	Bladen	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	8	1
2017	Bladen	[HB630 - CWS5] Placement stability	3.314917127071823	3	905	1000
2018	Bladen	Maltreatment in foster care	8.117542008279893	1	12319	100000
2018	Bladen	[HB630 - CWS2] Recurrence of maltreatment	0.028846153846153848	3	104	1
2018	Bladen	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.1111111111111111	1	9	1
2018	Bladen	Permanency in 12 months for children in foster care 12-23 months	0.8	8	10	1
2018	Bladen	Permanency in 12 months for children in foster care for 24 months or more	0.2222222222222222	4	18	1
2018	Bladen	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	1	1
2018	Bladen	[HB630 - CWS5] Placement stability	15.897634742148117	41	2579	1000
2019	Bladen	Maltreatment in foster care	0	0	14181	100000
2019	Bladen	[HB630 - CWS2] Recurrence of maltreatment	0.08620689655172414	10	116	1
2019	Bladen	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.125	2	16	1
2019	Bladen	Permanency in 12 months for children in foster care 12-23 months	0.4	2	5	1
2019	Bladen	Permanency in 12 months for children in foster care for 24 months or more	0.07142857142857142	1	14	1
2019	Bladen	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	4	1
2019	Bladen	[HB630 - CWS5] Placement stability	3.061224489795918	12	3920	1000
2016	Brunswick	Maltreatment in foster care	2.2568778352027805	1	44309	100000
2016	Brunswick	[HB630 - CWS2] Recurrence of maltreatment	0.17549668874172186	53	302	1
2016	Brunswick	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3064516129032258	19	62	1
2016	Brunswick	Permanency in 12 months for children in foster care 12-23 months	0.7419354838709677	23	31	1
2016	Brunswick	Permanency in 12 months for children in foster care for 24 months or more	0.4358974358974359	17	39	1
2016	Brunswick	[HB630 - CWS4] Re-entry to foster care in 12 months	0.125	2	16	1
2016	Brunswick	[HB630 - CWS5] Placement stability	4.947806673505099	82	16573	1000
2017	Brunswick	Maltreatment in foster care	6.02663773880552	3	49779	100000
2017	Brunswick	[HB630 - CWS2] Recurrence of maltreatment	0.04927536231884058	17	345	1
2017	Brunswick	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3333333333333333	31	93	1
2017	Brunswick	Permanency in 12 months for children in foster care 12-23 months	0.5789473684210527	11	19	1
2017	Brunswick	Permanency in 12 months for children in foster care for 24 months or more	0.4827586206896552	14	29	1
2017	Brunswick	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	29	1
2017	Brunswick	[HB630 - CWS5] Placement stability	7.269017407383791	114	15683	1000
2018	Brunswick	Maltreatment in foster care	17.875230888398974	9	50349	100000
2018	Brunswick	[HB630 - CWS2] Recurrence of maltreatment	0.07142857142857142	19	266	1
2018	Brunswick	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.25274725274725274	23	91	1
2018	Brunswick	Permanency in 12 months for children in foster care 12-23 months	0.6590909090909091	29	44	1
2018	Brunswick	Permanency in 12 months for children in foster care for 24 months or more	0.35	7	20	1
2018	Brunswick	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	28	1
2018	Brunswick	[HB630 - CWS5] Placement stability	7.942110836569007	90	11332	1000
2019	Brunswick	Maltreatment in foster care	14.901464068844763	8	53686	100000
2019	Brunswick	[HB630 - CWS2] Recurrence of maltreatment	0.16019417475728157	66	412	1
2019	Brunswick	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.3333333333333333	25	75	1
2019	Brunswick	Permanency in 12 months for children in foster care 12-23 months	0.5476190476190477	23	42	1
2019	Brunswick	Permanency in 12 months for children in foster care for 24 months or more	0.11538461538461539	3	26	1
2019	Brunswick	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	20	1
2019	Brunswick	[HB630 - CWS5] Placement stability	8.982035928143713	183	20374	1000
2016	Buncombe	Maltreatment in foster care	7.750936571502391	9	116115	100000
2016	Buncombe	[HB630 - CWS2] Recurrence of maltreatment	0.10079575596816977	76	754	1
2016	Buncombe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.23979591836734693	47	196	1
2016	Buncombe	Permanency in 12 months for children in foster care 12-23 months	0.5161290322580645	32	62	1
2016	Buncombe	Permanency in 12 months for children in foster care for 24 months or more	0.40476190476190477	34	84	1
2016	Buncombe	[HB630 - CWS4] Re-entry to foster care in 12 months	0.03125	1	32	1
2016	Buncombe	[HB630 - CWS5] Placement stability	4.168655529037391	131	31425	1000
2017	Buncombe	Maltreatment in foster care	7.305787807451903	9	123190	100000
2017	Buncombe	[HB630 - CWS2] Recurrence of maltreatment	0.0842358604091456	70	831	1
2017	Buncombe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.14450867052023122	25	173	1
2017	Buncombe	Permanency in 12 months for children in foster care 12-23 months	0.4636363636363636	51	110	1
2017	Buncombe	Permanency in 12 months for children in foster care for 24 months or more	0.46875	30	64	1
2017	Buncombe	[HB630 - CWS4] Re-entry to foster care in 12 months	0.09090909090909091	2	22	1
2017	Buncombe	[HB630 - CWS5] Placement stability	4.46850843145569	137	30659	1000
2018	Buncombe	Maltreatment in foster care	7.149495960534782	8	111896	100000
2018	Buncombe	[HB630 - CWS2] Recurrence of maltreatment	0.07766990291262135	56	721	1
2018	Buncombe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.1834319526627219	31	169	1
2018	Buncombe	Permanency in 12 months for children in foster care 12-23 months	0.40350877192982454	46	114	1
2018	Buncombe	Permanency in 12 months for children in foster care for 24 months or more	0.4625	37	80	1
2018	Buncombe	[HB630 - CWS4] Re-entry to foster care in 12 months	0.07407407407407407	2	27	1
2018	Buncombe	[HB630 - CWS5] Placement stability	3.3042955842595374	55	16645	1000
2019	Buncombe	Maltreatment in foster care	11.846001974333662	12	101300	100000
2019	Buncombe	[HB630 - CWS2] Recurrence of maltreatment	0.11825192802056556	92	778	1
2019	Buncombe	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.1891891891891892	21	111	1
2019	Buncombe	Permanency in 12 months for children in foster care 12-23 months	0.4329896907216495	42	97	1
2019	Buncombe	Permanency in 12 months for children in foster care for 24 months or more	0.4095238095238095	43	105	1
2019	Buncombe	[HB630 - CWS4] Re-entry to foster care in 12 months	0.1875	3	16	1
2019	Buncombe	[HB630 - CWS5] Placement stability	4.701085826018222	113	24037	1000
2016	Burke	Maltreatment in foster care	2.524041495242182	2	79238	100000
2016	Burke	[HB630 - CWS2] Recurrence of maltreatment	0.09736842105263158	37	380	1
2016	Burke	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.22115384615384615	23	104	1
2016	Burke	Permanency in 12 months for children in foster care 12-23 months	0.3488372093023256	15	43	1
2016	Burke	Permanency in 12 months for children in foster care for 24 months or more	0.2222222222222222	10	45	1
2016	Burke	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	16	1
2016	Burke	[HB630 - CWS5] Placement stability	2.3691386169594564	53	22371	1000
2017	Burke	Maltreatment in foster care	6.2494531728473754	5	80007	100000
2017	Burke	[HB630 - CWS2] Recurrence of maltreatment	0.1421188630490956	55	387	1
2017	Burke	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.15447154471544716	19	123	1
2017	Burke	Permanency in 12 months for children in foster care 12-23 months	0.5423728813559322	32	59	1
2017	Burke	Permanency in 12 months for children in foster care for 24 months or more	0.3333333333333333	19	57	1
2017	Burke	[HB630 - CWS4] Re-entry to foster care in 12 months	0	0	11	1
2017	Burke	[HB630 - CWS5] Placement stability	3.367922810850173	37	10986	1000
2018	Burke	Maltreatment in foster care	3.4346163533533307	3	87346	100000
2018	Burke	[HB630 - CWS2] Recurrence of maltreatment	0.07122507122507123	25	351	1
2018	Burke	[HB630 - CWS3] Permanency in 12 months for children entering foster care	0.09411764705882353	8	85	1
2018	Burke	Permanency in 12 months for children in foster care 12-23 months	0.45977011494252873	40	87	1
2018	Burke	Permanency in 12 months for children in foster care for 24 months or more	0.1774193548387097	11	62	1
